datetime,datetime_nano,SHFE.cu2606.open,SHFE.cu2606.high,SHFE.cu2606.low,SHFE.cu2606.close,SHFE.cu2606.volume,SHFE.cu2606.open_oi,SHFE.cu2606.close_oi
2026-01-07 00:30:00.000000000,1767717000000000000,104910,104960,104910,104930,9,29211,29203
2026-01-07 00:31:00.000000000,1767717060000000000,104930,104930,104910,104910,1,29203,29203
2026-01-07 00:32:00.000000000,1767717120000000000,104910,104910,104890,104900,4,29203,29200
2026-01-07 00:33:00.000000000,1767717180000000000,104900,104960,104900,104940,7,29200,29202
2026-01-07 00:34:00.000000000,1767717240000000000,104940,104950,104910,104950,7,29202,29202
2026-01-07 00:35:00.000000000,1767717300000000000,104950,104950,104880,104880,2,29202,29201
2026-01-07 00:36:00.000000000,1767717360000000000,104880,104920,104880,104900,2,29201,29199
2026-01-07 00:37:00.000000000,1767717420000000000,104900,104900,104890,104890,2,29199,29199
2026-01-07 00:38:00.000000000,1767717480000000000,104890,104890,104860,104890,3,29199,29197
2026-01-07 00:39:00.000000000,1767717540000000000,104890,104900,104890,104900,11,29197,29197
2026-01-07 00:40:00.000000000,1767717600000000000,104900,104920,104880,104880,16,29197,29202
2026-01-07 00:41:00.000000000,1767717660000000000,104880,104890,104850,104850,4,29202,29201
2026-01-07 00:42:00.000000000,1767717720000000000,104850,104850,104830,104830,2,29201,29201
2026-01-07 00:43:00.000000000,1767717780000000000,104830,104830,104800,104800,6,29201,29202
2026-01-07 00:44:00.000000000,1767717840000000000,104800,104810,104800,104810,10,29202,29202
2026-01-07 00:45:00.000000000,1767717900000000000,104810,104850,104770,104770,15,29202,29199
2026-01-07 00:46:00.000000000,1767717960000000000,104770,104770,104710,104720,6,29199,29198
2026-01-07 00:47:00.000000000,1767718020000000000,104720,104720,104720,104720,0,29198,29198
2026-01-07 00:48:00.000000000,1767718080000000000,104720,104770,104710,104710,2,29198,29200
2026-01-07 00:49:00.000000000,1767718140000000000,104710,104760,104710,104760,2,29200,29198
2026-01-07 00:50:00.000000000,1767718200000000000,104760,104780,104730,104780,4,29198,29198
2026-01-07 00:51:00.000000000,1767718260000000000,104780,104780,104780,104780,0,29198,29198
2026-01-07 00:52:00.000000000,1767718320000000000,104780,104800,104780,104800,1,29198,29197
2026-01-07 00:53:00.000000000,1767718380000000000,104800,104800,104800,104800,0,29197,29197
2026-01-07 00:54:00.000000000,1767718440000000000,104800,104800,104770,104770,19,29197,29192
2026-01-07 00:55:00.000000000,1767718500000000000,104770,104790,104750,104760,18,29192,29184
2026-01-07 00:56:00.000000000,1767718560000000000,104760,104770,104750,104760,10,29184,29185
2026-01-07 00:57:00.000000000,1767718620000000000,104760,104760,104750,104750,3,29185,29185
2026-01-07 00:58:00.000000000,1767718680000000000,104750,104750,104740,104740,1,29185,29185
2026-01-07 00:59:00.000000000,1767718740000000000,104740,104740,104690,104690,17,29185,29184
2026-01-07 09:00:00.000000000,1767747600000000000,104890,105090,104740,104810,77,29184,29187
2026-01-07 09:01:00.000000000,1767747660000000000,104810,104930,104530,104640,52,29187,29188
2026-01-07 09:02:00.000000000,1767747720000000000,104640,104720,104590,104720,46,29188,29185
2026-01-07 09:03:00.000000000,1767747780000000000,104720,104720,104580,104610,39,29185,29200
