datetime,datetime_nano,SHFE.ni2607.open,SHFE.ni2607.high,SHFE.ni2607.low,SHFE.ni2607.close,SHFE.ni2607.volume,SHFE.ni2607.open_oi,SHFE.ni2607.close_oi
2026-01-06 22:36:00.000000000,1767710160000000000,145550,145960,145550,145960,5,2348,2344
2026-01-06 22:37:00.000000000,1767710220000000000,145960,146040,145960,146040,2,2344,2345
2026-01-06 22:38:00.000000000,1767710280000000000,146040,146040,145830,145830,8,2345,2350
2026-01-06 22:39:00.000000000,1767710340000000000,145830,145830,145720,145720,3,2350,2353
2026-01-06 22:40:00.000000000,1767710400000000000,145720,145720,145720,145720,0,2353,2353
2026-01-06 22:41:00.000000000,1767710460000000000,145720,145720,145720,145720,0,2353,2353
2026-01-06 22:42:00.000000000,1767710520000000000,145720,145990,145720,145910,3,2353,2355
2026-01-06 22:43:00.000000000,1767710580000000000,145910,145910,145910,145910,0,2355,2355
2026-01-06 22:44:00.000000000,1767710640000000000,145910,145910,145830,145830,1,2355,2356
2026-01-06 22:45:00.000000000,1767710700000000000,145830,145830,145830,145830,0,2356,2356
2026-01-06 22:46:00.000000000,1767710760000000000,145830,145830,145830,145830,0,2356,2356
2026-01-06 22:47:00.000000000,1767710820000000000,145830,145900,145830,145900,3,2356,2355
2026-01-06 22:48:00.000000000,1767710880000000000,145900,146000,145900,146000,1,2355,2356
2026-01-06 22:49:00.000000000,1767710940000000000,146000,146000,145830,145830,1,2356,2356
2026-01-06 22:50:00.000000000,1767711000000000000,145830,146060,145830,146060,1,2356,2356
2026-01-06 22:51:00.000000000,1767711060000000000,146060,146500,146060,146500,2,2356,2355
2026-01-06 22:52:00.000000000,1767711120000000000,146500,146500,146330,146330,9,2355,2362
2026-01-06 22:53:00.000000000,1767711180000000000,146330,146330,146330,146330,1,2362,2362
2026-01-06 22:54:00.000000000,1767711240000000000,146330,146380,146330,146380,1,2362,2362
2026-01-06 22:55:00.000000000,1767711300000000000,146380,146380,146310,146310,2,2362,2363
2026-01-06 22:56:00.000000000,1767711360000000000,146310,146460,146310,146460,4,2363,2361
2026-01-06 22:57:00.000000000,1767711420000000000,146460,146540,146390,146540,3,2361,2362
2026-01-06 22:58:00.000000000,1767711480000000000,146540,146590,146500,146510,5,2362,2364
2026-01-06 22:59:00.000000000,1767711540000000000,146510,147070,146510,146920,10,2364,2363
2026-01-06 23:00:00.000000000,1767711600000000000,146920,146920,146700,146700,1,2363,2362
2026-01-06 23:01:00.000000000,1767711660000000000,146700,146830,146700,146830,1,2362,2361
2026-01-06 23:02:00.000000000,1767711720000000000,146830,146830,146380,146380,1,2361,2361
2026-01-06 23:03:00.000000000,1767711780000000000,146380,146460,146320,146400,5,2361,2361
2026-01-06 23:04:00.000000000,1767711840000000000,146400,146700,146400,146610,2,2361,2361
2026-01-06 23:05:00.000000000,1767711900000000000,146610,146610,146610,146610,0,2361,2361
